classification,match_kind,oem_name,recovered_names,oem_instructions,recovered_instructions,instruction_ratio,instruction_delta,oem_bytes,recovered_bytes,oem_branches,recovered_branches,oem_calls,recovered_calls,oem_returns,recovered_returns,oem_relocations,recovered_relocations,missing_replacement_targets
larger,exact_name,register_tx_isp_vic_device,register_tx_isp_vic_device,309,407,1.317152,98,1236,1628,31,27,29,23,1,1,107,80,
larger,exact_name,apical_api_init_idx_array,apical_api_init_idx_array,295,563,1.908475,268,1180,2252,0,0,1,0,1,1,6,282,
larger,exact_name,_update_ds2,_update_ds2,294,586,1.993197,292,1176,2344,18,23,32,32,1,1,19,64,
larger,exact_name,color_matrix_update,color_matrix_update,292,548,1.876712,256,1168,2192,25,29,39,33,1,1,22,66,
larger,replacement,apical_isp_stab_s_attr.isra.0,apical_isp_stab_s_attr,288,421,1.461806,133,1152,1684,53,53,2,2,1,1,110,110,
larger,exact_name,_update_ds,_update_ds,282,555,1.968085,273,1128,2220,18,22,30,32,1,1,18,64,
larger,exact_name,noise_reduction_update,noise_reduction_update,278,548,1.971223,270,1112,2192,8,13,38,45,1,1,37,100,
larger,exact_name,matrix_yuv_recompute,matrix_yuv_recompute,268,414,1.544776,146,1072,1656,33,20,5,12,0,1,13,32,
larger,exact_name,get_static_calibrations,get_static_calibrations,260,354,1.361538,94,1040,1416,1,2,0,0,1,1,170,170,
larger,exact_name,tx_isp_probe,tx_isp_probe,246,322,1.308943,76,984,1288,20,17,29,29,1,1,90,88,
larger,exact_name,shading_mesh_reload,shading_mesh_reload,238,470,1.974790,232,952,1880,7,7,46,50,0,1,12,106,
larger,exact_name,crop_initialize,crop_initialize,234,444,1.897436,210,936,1776,22,22,28,29,0,1,26,66,
larger,exact_name,iridix,iridix,227,403,1.775330,176,908,1612,20,23,29,32,1,1,78,88,
larger,exact_name,iridix_control_strength_calculate,iridix_control_strength_calculate,224,427,1.906250,203,896,1708,16,21,19,20,1,1,25,62,
larger,exact_name,isp_cmd_set,isp_cmd_set,223,289,1.295964,66,892,1156,27,18,17,17,1,1,63,68,
larger,exact_name,apical_sbus_copy,apical_sbus_copy,215,356,1.655814,141,860,1424,22,25,14,18,1,1,28,36,
larger,exact_name,tx_isp_request_irq,tx_isp_request_irq,195,334,1.712821,139,780,1336,15,20,17,17,1,1,74,76,
larger,exact_name,sharpening_initialize,sharpening_initialize,193,356,1.844560,163,772,1424,16,15,24,19,1,1,31,40,
larger,exact_name,spi_io_read_sample,spi_io_read_sample,190,316,1.663158,126,760,1264,34,52,11,12,1,1,22,24,
larger,exact_name,AWB_mesh_LUT,AWB_mesh_LUT,184,245,1.331522,61,736,980,7,11,7,8,1,1,6,16,
larger,exact_name,sinter_strength_calculate,sinter_strength_calculate,182,323,1.774725,141,728,1292,3,4,27,27,1,1,18,64,
larger,exact_name,iridix_init_pre_post_gamma,iridix_init_pre_post_gamma,181,281,1.552486,100,724,1124,11,10,29,28,0,1,25,56,
larger,exact_name,get_dynamic_calibrations,get_dynamic_calibrations,176,242,1.375000,66,704,968,1,2,0,0,1,1,114,114,
larger,exact_name,csi_phy_start,csi_phy_start,169,254,1.502959,85,676,1016,12,11,12,22,1,1,20,46,
larger,replacement,ae_roi.part.1,ae_roi_part_1,164,314,1.914634,150,656,1256,14,17,5,8,1,1,6,16,
larger,replacement,AWB_mesh.isra.1,AWB_mesh_isra_1,160,225,1.406250,65,640,900,5,4,20,13,0,1,16,26,
larger,exact_name,iridix_initialize,iridix_initialize,153,282,1.843137,129,612,1128,16,13,21,25,0,1,31,56,
larger,exact_name,orientation_vflip,orientation_vflip,151,300,1.986755,149,604,1200,20,22,14,16,3,1,13,32,
larger,exact_name,flash_processing,flash_processing,146,290,1.986301,144,584,1160,12,14,5,7,1,1,16,26,
larger,exact_name,apical_change_resolution,apical_change_resolution,146,243,1.664384,97,584,972,2,3,23,24,0,1,36,80,
larger,exact_name,sensor_update_black,sensor_update_black,145,247,1.703448,102,580,988,1,0,28,29,0,1,12,58,
larger,exact_name,cmos_update_exposure_history,cmos_update_exposure_history,140,219,1.564286,79,560,876,11,9,13,13,1,1,23,42,
larger,exact_name,frame_channel_vidioc_try_fmt_vid_cap,frame_channel_vidioc_try_fmt_vid_cap,129,220,1.705426,91,516,880,14,15,8,8,1,1,20,26,
larger,exact_name,apical_wdr_fs_isp_setup,apical_wdr_fs_isp_setup,128,248,1.937500,120,512,992,2,1,29,30,0,1,9,60,
larger,exact_name,apical_isp_hi_light_depress_s_ctrl,apical_isp_hi_light_depress_s_ctrl,125,235,1.880000,110,500,940,14,15,10,12,1,1,30,38,
larger,exact_name,compute_transfrom_matrix,compute_transfrom_matrix,124,203,1.637097,79,496,812,12,9,10,10,1,1,13,22,
larger,exact_name,isp_gamma_put,isp_gamma_put,123,214,1.739837,91,492,856,10,15,10,12,1,1,26,32,
larger,exact_name,apical_sbus_write_u32,apical_sbus_write_u32,119,237,1.991597,118,476,948,18,22,1,5,1,1,2,10,
larger,exact_name,awb_normalise,awb_normalise,118,225,1.906780,107,472,900,3,7,9,9,1,1,5,18,
larger,replacement,tx_isp_video_in_subdev_close,"subdev_core_ops_release_all_sensor,tx_isp_video_in_subdev_close",113,208,1.840708,95,452,832,13,15,6,8,1,2,22,26,
larger,exact_name,defect_pixel_update,defect_pixel_update,110,199,1.809091,89,440,796,7,8,13,14,1,1,15,34,
larger,exact_name,tx_isp_v4l2_dev_notify,tx_isp_v4l2_dev_notify,110,184,1.672727,74,440,736,22,20,3,8,2,1,2,12,
larger,exact_name,iridix_fsm_process_interrupt,iridix_fsm_process_interrupt,105,162,1.542857,57,420,648,6,10,8,9,1,1,13,18,
larger,exact_name,register_tx_isp_video_in_device,register_tx_isp_video_in_device,104,185,1.778846,81,416,740,6,7,10,10,1,1,37,34,
larger,exact_name,isp_core_ops_init,isp_core_ops_init,101,174,1.722772,73,404,696,11,15,8,9,1,1,28,30,
larger,exact_name,sensor_fsm_switch_state,sensor_fsm_switch_state,101,169,1.673267,68,404,676,19,19,7,9,1,1,18,18,
larger,exact_name,dynamic_dpc_strength_calculate,dynamic_dpc_strength_calculate,101,162,1.603960,61,404,648,3,2,13,14,0,1,13,28,
larger,exact_name,update_composite_matrix,update_composite_matrix,98,190,1.938776,92,392,760,15,12,0,1,1,1,0,2,
larger,exact_name,sensor_init,sensor_init,98,155,1.581633,57,392,620,3,4,1,2,1,1,42,42,
larger,exact_name,dis_update_stats,dis_update_stats,98,152,1.551020,54,392,608,6,6,4,6,1,1,5,12,
larger,exact_name,tx_isp_subdev_match,tx_isp_subdev_match,97,165,1.701031,68,388,660,18,18,4,6,1,1,23,22,
larger,exact_name,set_sensor_fps,set_sensor_fps,97,144,1.484536,47,388,576,29,20,3,3,1,1,4,4,
larger,exact_name,cmos_fsm_switch_state,cmos_fsm_switch_state,97,126,1.298969,29,388,504,19,18,4,8,1,1,18,16,
larger,exact_name,color_matrix_initialize,color_matrix_initialize,94,172,1.829787,78,376,688,0,0,14,14,1,1,10,30,
larger,exact_name,calc_fe_lut_input,calc_fe_lut_input,93,133,1.430108,40,372,532,6,6,14,12,1,1,18,24,
larger,exact_name,iir_filter_v2,iir_filter_v2,92,175,1.902174,83,368,700,0,5,4,4,1,1,16,32,
larger,exact_name,get_gmv_gauss_method_fast_v1,get_gmv_gauss_method_fast_v1,92,147,1.597826,55,368,588,11,12,1,1,1,1,2,2,
larger,exact_name,sensor_hw_init,sensor_hw_init,91,156,1.714286,65,364,624,0,0,13,13,1,1,16,22,
larger,exact_name,frame_channel_vidioc_s_crop,frame_channel_vidioc_s_crop,90,178,1.977778,88,360,712,14,19,5,4,1,1,13,10,
larger,exact_name,temper_strength_calculate,temper_strength_calculate,90,144,1.600000,54,360,576,4,5,4,4,1,1,10,18,
